,Missing count,Missing Percentage
price,0,0.0
area,0,0.0
latitude,0,0.0
longitude,0,0.0
bedrooms,0,0.0
bathrooms,0,0.0
balcony,1237,61.88094047023511
neworold,0,0.0
parking,1322,66.13306653326664
furnished_status,813,40.670335167583794
lift,1467,73.38669334667334
type_of_building,0,0.0
Total_Rooms,0,0.0
Approx_Avg_Area_Per_Room,0,0.0
Balcony_Ratio,1237,61.88094047023511
Bathroom_Ratio,0,0.0
PD Hinduja Hospital,0,0.0
Lilavati Hospital,0,0.0
Breach Candy Hospital,0,0.0
Wockhardt Hospital,0,0.0
KEM Hospital,0,0.0
JJ Hospital,0,0.0
Nair Hospital,0,0.0
SevenHills Hospital,0,0.0
Nanavati Super Speciality Hospital,0,0.0
Kokilaben Dhirubhai Ambani Hospital,0,0.0
St Xavier,0,0.0
Bombay Scottish,0,0.0
Don Bosco,0,0.0
Hansraj Morarji Public School,0,0.0
St Anne,0,0.0
KJ.Somaiya College,0,0.0
Mithibai College,0,0.0
Ruia College,0,0.0
Jai Hind College,0,0.0
Narsee Monjee College,0,0.0
Fashion Street,0,0.0
Bandra Linking Road,0,0.0
Bandra Hill Road,0,0.0
Colaba Causeway,0,0.0
Crawford Market,0,0.0
Malad West,0,0.0
Natraj Market,0,0.0
Hindmata,0,0.0
Grant Road,0,0.0
Infiniti Mall,0,0.0
RCity Mall,0,0.0
Phoenix Marketcity,0,0.0
Growel Mall,0,0.0
South Mumbai,0,0.0
Bandra,0,0.0
Juhu,0,0.0
Powai,0,0.0
BKC,0,0.0
Worli,0,0.0
Lower Parel,0,0.0
Andheri West,0,0.0
Goregaon East,0,0.0
Thane,0,0.0
